card_id,user_id,ride_id,payment_method,amount
171,175,492,UPI,17.71
172,75,356,Wallet,22.01
173,14,490,Card,9.63
174,38,413,Cash,37.36
175,140,273,UPI,27.67
176,45,68,UPI,36.89
177,145,44,Wallet,16.2
178,163,493,Card,19.6
179,194,61,UPI,20.04
180,75,123,UPI,6.16
181,169,349,Card,20.35
182,195,196,UPI,41.15
183,29,330,Card,45.38
184,18,409,Card,28.32
185,20,479,Card,25.5
186,14,323,Wallet,6.39
187,162,111,Card,44.56
188,177,258,Card,5.59
189,54,89,Cash,47.51
190,31,433,Cash,27.01
191,58,198,Wallet,20.39
192,104,282,Card,46.59
193,170,200,Cash,6.1
194,186,99,Cash,31.16
195,128,27,UPI,29.7
196,158,89,Card,14.87
197,25,146,Cash,24.3
198,191,182,Wallet,34.35
199,19,257,UPI,37.72
200,136,189,UPI,5.03
201,3,240,Card,47.16
202,195,359,Card,12.4
203,86,387,UPI,15.51
204,145,196,Wallet,16.86
205,142,297,Card,6.7
206,9,165,Card,10.54
207,190,307,UPI,49.39
208,94,271,UPI,19.18
209,149,8,Card,10.19
210,165,38,Cash,9.81
211,139,114,Card,37.38
212,20,339,Cash,43.46
213,35,56,UPI,16.56
214,53,431,Cash,5.94
215,175,474,Wallet,15.04
216,110,359,UPI,7.54
217,180,138,Card,9.65
218,136,102,Card,24.42
219,4,334,UPI,15.35
220,155,177,UPI,28.22
221,172,169,Wallet,16.41
222,168,339,UPI,47.32
223,102,286,Card,45.77
224,47,261,Wallet,30.51
225,94,375,Card,20.95
226,172,223,Cash,22.15
227,48,199,UPI,23.53
228,91,211,Cash,37.74
229,180,287,Card,25.32
230,84,180,Cash,43.55
231,68,250,Cash,47.48
232,139,231,Card,20.12
233,125,472,Card,30.23
234,73,482,UPI,9.28
235,4,23,Cash,14.02
236,76,48,Wallet,23.61
237,73,109,Wallet,14.28
238,77,296,Card,44.45
239,48,6,Card,12.12
240,154,38,Cash,25.5
241,102,169,Card,32.26
242,106,356,Wallet,36.13
243,77,283,UPI,22.24
244,39,203,UPI,44.11
245,58,325,Cash,30.57
246,19,313,UPI,24.78
247,88,273,Card,8.03
248,113,244,Card,25.91
249,77,327,Card,41.93
250,77,475,Card,32.65
251,186,47,Cash,42.45
252,28,249,UPI,27.23
253,66,79,Wallet,10.33
254,10,110,UPI,5.61
255,126,13,Card,18.64
256,58,395,Wallet,36.41
257,142,380,Cash,40.56
258,125,365,Card,18.31
259,112,90,Card,27.3
260,84,342,Wallet,23.95
261,143,348,Cash,23.47
262,96,280,Wallet,15.41
263,33,221,Cash,11.14
264,145,73,Card,13.85
265,152,234,UPI,7.49
266,158,260,Card,13.92
267,190,113,UPI,5.41
268,141,46,UPI,33.23
269,190,274,Cash,19.24
270,47,43,Wallet,48.79
271,112,208,Cash,13.72
272,144,417,Card,20.56
273,194,349,Wallet,21.1
274,43,103,UPI,5.38
275,8,124,UPI,42.76
276,3,10,Card,6.44
277,125,329,Wallet,47.31
278,12,187,Card,45.14
279,84,31,Card,29.1
280,16,156,Cash,29.46
281,78,60,Card,34.42
282,59,249,Wallet,22.42
283,177,387,Card,34.13
284,63,374,Wallet,7.01
285,190,439,UPI,7.43
286,49,270,Card,25.58
287,51,442,Wallet,29.73
288,33,217,UPI,44.95
289,30,399,Wallet,9.71
290,187,2,UPI,42.02
291,76,24,Cash,14.45
292,15,206,Card,22.73
293,82,320,Card,19.25
294,92,496,UPI,23.01
295,23,199,Cash,11.77
296,94,356,Wallet,27.66
297,45,114,Cash,41.07
298,62,280,Wallet,24.87
299,199,155,Wallet,27.08
300,15,165,Card,43.19
301,46,486,UPI,36.77
302,64,222,Card,27.07
303,174,91,Card,16.6
304,184,167,Card,44.82
305,172,447,Wallet,30.97
306,75,207,Card,14.95
307,157,282,Wallet,17.11
308,190,65,UPI,41.14
309,52,376,Wallet,6.99
310,182,4,Wallet,49.64
311,88,157,Cash,10.87
312,57,249,Card,40.82
313,83,257,Card,22.76
314,66,235,Card,27.15
315,150,306,Card,44.63
316,20,366,Cash,23.58
317,33,470,Cash,29.19
318,72,395,Cash,7.22
319,25,74,Cash,5.11
320,46,187,Card,16.02
321,73,62,Wallet,35.63
322,98,337,UPI,10.46
323,57,164,Cash,10.12
324,87,56,Wallet,23.49
325,133,111,Cash,34.15
326,55,218,Card,37.04
327,61,240,Card,13.03
328,89,21,Wallet,8.58
329,8,141,Wallet,47.32
330,16,265,Wallet,16.73
331,176,139,Card,43.4
332,116,459,Card,43.86
333,61,70,UPI,39.76
334,15,385,Wallet,12.6
335,193,118,UPI,41.98
336,150,198,Cash,39.62
337,131,205,UPI,31.85
338,102,214,Cash,20.17
339,54,56,Cash,16.81
340,14,287,UPI,10.49
341,36,470,Wallet,27.94
342,105,293,Cash,31.34
343,82,175,Wallet,21.17
344,67,347,Card,26.39
345,10,370,Cash,21.36
346,49,500,Card,33.85
347,111,462,UPI,45.56
348,65,128,Wallet,12.38
349,57,431,UPI,22.16
350,27,378,Cash,11.34
351,113,325,Card,33.12
352,133,442,Cash,37.8
353,71,292,UPI,46.94
354,83,288,Wallet,17.55
355,57,226,Wallet,47.76
356,120,64,Cash,7.85
357,93,455,Cash,32.14
358,15,426,Card,7.57
359,111,48,UPI,45.22
360,101,202,Cash,28.84
361,119,498,Card,35.12
362,76,337,Cash,42.42
363,158,414,Wallet,11.76
364,20,405,Card,6.74
365,165,60,Card,44.55
366,131,397,Cash,19.17
367,73,257,UPI,10.8
368,122,65,Wallet,26.08
369,41,239,UPI,31.92
370,167,289,Card,6.39
371,154,38,UPI,17.37
372,130,25,Card,6.48
373,23,410,UPI,23.92
374,23,461,Cash,45.28
375,144,59,UPI,49.22
376,9,476,Card,33.67
377,13,417,Wallet,12.27
378,156,357,Wallet,45.76
379,155,383,Wallet,28.23
380,51,297,Card,11.92
381,64,158,UPI,46.48
382,52,57,Wallet,39.09
383,38,433,Wallet,37.93
384,100,48,Wallet,36.91
385,193,328,Cash,14.02
386,146,433,Card,14.5
387,191,431,Card,35.97
388,51,56,Card,14.89
389,137,65,Card,24.74
390,141,268,Card,40.19
391,168,69,Cash,40.28
392,55,216,UPI,25.4
393,109,390,Cash,40.65
394,171,89,Wallet,42.74
395,44,449,Cash,34.46
396,110,281,Card,15.28
397,196,257,Cash,17.33
398,161,160,Card,19.17
399,152,490,Cash,10.26
400,164,234,Card,17.29
401,128,131,Wallet,14.43
402,105,49,Card,25.49
403,10,147,Cash,45.88
404,100,316,Wallet,9.7
405,148,491,Cash,37.41
406,109,413,Wallet,35.93
407,108,434,UPI,9.31
408,140,2,UPI,46.52
409,190,329,UPI,30.58
410,146,440,Cash,21.37
411,94,145,Cash,39.04
412,63,444,Wallet,16.58
413,84,366,Wallet,36.21
414,25,420,Wallet,6.79
415,12,61,Wallet,42.77
416,149,273,Card,25.17
417,25,49,UPI,33.65
418,11,332,Card,14.96
419,64,444,Card,35.47
420,126,404,Card,39.75
421,50,434,Card,26.29
422,190,131,UPI,32.8
423,89,43,Card,25.53
424,99,57,Wallet,45.23
425,116,50,Cash,27.4
426,96,452,Wallet,42.88
427,177,465,Cash,41.06
428,14,178,Wallet,23.47
429,1,293,Wallet,15.35
430,25,46,Cash,23.27
431,187,170,UPI,42.18
432,72,271,Card,15.24
433,69,417,Wallet,28.6
434,133,336,UPI,41.27
435,105,139,Card,20.91
436,147,247,UPI,33.9
437,23,148,UPI,16.05
438,9,230,Card,9.92
439,118,280,Wallet,40.75
440,94,125,UPI,9.45
441,178,192,Wallet,17.21
442,144,374,Wallet,43.48
443,33,80,Wallet,20.59
444,130,94,Card,48.79
445,14,226,Cash,49.09
446,1,65,Wallet,17.07
447,90,88,Cash,6.84
448,186,88,Cash,36.73
449,89,201,UPI,25.29
450,144,214,Wallet,9.53
451,90,204,Wallet,36.84
452,175,401,Wallet,6.4
453,172,382,Cash,44.16
454,14,89,Card,11.24
455,152,476,Cash,10.73
456,111,61,Wallet,12.91
457,183,271,Wallet,48.21
458,143,94,Wallet,36.19
459,83,307,Cash,41.06
460,72,27,Wallet,22.89
461,162,214,UPI,20.13
462,130,74,Wallet,15.55
463,27,61,Card,26.63
464,74,186,UPI,29.83
465,99,31,Wallet,33.43
466,72,219,UPI,16.57
467,23,12,Wallet,47.69
468,68,302,Card,12.64
469,142,415,Wallet,48.45
470,191,32,UPI,5.67
471,117,160,Card,26.65
472,106,489,Cash,20.0
473,93,237,Card,25.21
474,65,227,Card,30.68
475,68,181,Card,24.6
476,128,317,UPI,23.67
477,63,46,Card,37.97
478,113,341,Wallet,35.86
479,90,458,Card,42.5
480,81,80,Card,16.25
481,103,135,Wallet,32.43
482,192,260,Wallet,31.33
483,160,475,Cash,21.64
484,116,308,Card,26.87
485,13,247,UPI,19.12
486,194,473,Card,11.38
487,124,159,Card,14.62
488,147,203,Wallet,9.75
489,152,112,Cash,35.74
490,88,468,Card,34.73
491,11,292,UPI,47.78
492,187,438,Card,37.84
493,15,310,UPI,7.34
494,10,119,Wallet,44.79
495,41,383,Cash,43.82
496,155,17,Card,24.95
497,188,493,Cash,31.36
498,73,331,Card,48.92
499,52,414,UPI,28.95
500,128,227,Cash,45.74
