road_segment_id,name,region,lane_count,avg_kg_capacity
213,Road_213,Industrial,2,671
214,Road_214,Suburbs,3,1958
215,Road_215,Industrial,3,4049
216,Road_216,Industrial,4,4697
217,Road_217,Residential,2,2822
218,Road_218,Residential,2,2136
219,Road_219,Downtown,2,3615
220,Road_220,Downtown,2,4590
221,Road_221,Suburbs,3,3504
222,Road_222,Downtown,3,829
223,Road_223,Industrial,2,4140
224,Road_224,Residential,4,4394
225,Road_225,Downtown,1,4607
226,Road_226,Downtown,1,1841
227,Road_227,Suburbs,4,4163
228,Road_228,Suburbs,2,715
229,Road_229,Industrial,3,838
230,Road_230,Residential,1,4562
231,Road_231,Suburbs,5,3208
232,Road_232,Downtown,5,3652
233,Road_233,Residential,4,2250
234,Road_234,Residential,2,2921
235,Road_235,Downtown,1,1209
236,Road_236,Suburbs,2,4226
237,Road_237,Downtown,1,4142
238,Road_238,Residential,4,4493
239,Road_239,Highway,4,988
240,Road_240,Highway,5,546
241,Road_241,Industrial,2,3859
242,Road_242,Downtown,5,900
243,Road_243,Downtown,2,4490
244,Road_244,Industrial,5,3657
245,Road_245,Industrial,3,4845
246,Road_246,Industrial,3,890
247,Road_247,Residential,3,4353
248,Road_248,Downtown,3,4930
249,Road_249,Residential,1,1128
250,Road_250,Industrial,3,4732
251,Road_251,Downtown,4,3430
252,Road_252,Residential,4,2021
253,Road_253,Residential,1,1326
254,Road_254,Industrial,3,2000
255,Road_255,Downtown,3,3794
256,Road_256,Industrial,3,2919
257,Road_257,Downtown,5,1434
258,Road_258,Highway,2,3542
259,Road_259,Suburbs,5,4997
260,Road_260,Suburbs,2,1966
261,Road_261,Suburbs,3,4061
262,Road_262,Industrial,3,1114
263,Road_263,Highway,5,1682
264,Road_264,Downtown,5,3723
265,Road_265,Residential,2,3167
266,Road_266,Downtown,4,630
267,Road_267,Residential,2,3483
268,Road_268,Downtown,5,4778
269,Road_269,Highway,5,4959
270,Road_270,Residential,1,538
271,Road_271,Industrial,5,4459
272,Road_272,Downtown,1,4087
273,Road_273,Downtown,4,1420
274,Road_274,Residential,2,3269
275,Road_275,Industrial,2,4611
276,Road_276,Industrial,1,992
277,Road_277,Highway,2,1631
278,Road_278,Industrial,5,4021
279,Road_279,Industrial,3,810
280,Road_280,Industrial,1,1238
281,Road_281,Suburbs,2,3741
282,Road_282,Highway,1,1045
283,Road_283,Downtown,1,2961
284,Road_284,Residential,3,4846
285,Road_285,Downtown,5,2304
286,Road_286,Highway,1,3712
287,Road_287,Residential,2,4310
288,Road_288,Highway,4,1313
289,Road_289,Industrial,1,4624
290,Road_290,Residential,1,2532
291,Road_291,Industrial,3,4913
292,Road_292,Downtown,5,744
293,Road_293,Downtown,4,771
294,Road_294,Residential,2,4011
295,Road_295,Residential,4,2271
296,Road_296,Highway,2,1762
297,Road_297,Highway,5,2924
298,Road_298,Industrial,2,4861
299,Road_299,Residential,3,1420
300,Road_300,Downtown,3,3930
301,Road_301,Highway,3,4935
302,Road_302,Highway,3,4984
303,Road_303,Downtown,4,3124
304,Road_304,Highway,5,4260
305,Road_305,Industrial,2,2550
306,Road_306,Residential,2,4000
307,Road_307,Downtown,3,1665
308,Road_308,Residential,3,875
309,Road_309,Highway,1,2533
310,Road_310,Highway,5,645
311,Road_311,Downtown,4,4888
312,Road_312,Industrial,2,931
313,Road_313,Suburbs,1,1204
314,Road_314,Downtown,1,3132
315,Road_315,Suburbs,2,4994
316,Road_316,Suburbs,4,1463
317,Road_317,Industrial,1,2734
318,Road_318,Suburbs,1,2541
319,Road_319,Suburbs,5,2328
320,Road_320,Industrial,4,2608
321,Road_321,Suburbs,1,4568
322,Road_322,Suburbs,4,1438
323,Road_323,Suburbs,2,1306
324,Road_324,Downtown,3,1963
325,Road_325,Downtown,1,3915
326,Road_326,Downtown,5,510
327,Road_327,Industrial,2,2368
328,Road_328,Highway,4,1384
329,Road_329,Suburbs,2,4064
330,Road_330,Suburbs,1,1889
331,Road_331,Industrial,4,3901
332,Road_332,Suburbs,3,4821
333,Road_333,Downtown,2,1324
334,Road_334,Highway,1,2765
335,Road_335,Residential,5,1436
336,Road_336,Suburbs,4,3300
337,Road_337,Downtown,2,3053
338,Road_338,Residential,2,4345
339,Road_339,Highway,3,2296
340,Road_340,Residential,3,553
341,Road_341,Downtown,5,1226
342,Road_342,Residential,5,3236
343,Road_343,Industrial,1,3670
344,Road_344,Residential,1,2413
345,Road_345,Suburbs,5,2096
346,Road_346,Suburbs,5,2414
347,Road_347,Industrial,4,2966
348,Road_348,Downtown,3,3237
349,Road_349,Suburbs,1,1349
350,Road_350,Highway,3,2609
351,Road_351,Suburbs,3,502
352,Road_352,Suburbs,5,4755
353,Road_353,Downtown,4,4569
354,Road_354,Residential,2,1392
355,Road_355,Suburbs,4,2530
356,Road_356,Industrial,4,3660
357,Road_357,Residential,3,2876
358,Road_358,Highway,4,2433
359,Road_359,Downtown,1,1880
360,Road_360,Highway,3,4181
361,Road_361,Residential,1,1790
362,Road_362,Residential,2,2140
363,Road_363,Residential,3,3182
364,Road_364,Highway,2,1487
365,Road_365,Residential,3,1718
366,Road_366,Highway,5,1855
367,Road_367,Residential,4,4765
368,Road_368,Industrial,5,4635
369,Road_369,Residential,2,2060
370,Road_370,Highway,4,1918
371,Road_371,Suburbs,3,1454
372,Road_372,Residential,4,1483
373,Road_373,Suburbs,1,1474
374,Road_374,Industrial,4,4633
375,Road_375,Downtown,1,4472
376,Road_376,Industrial,4,1413
377,Road_377,Residential,1,536
378,Road_378,Suburbs,2,3887
379,Road_379,Suburbs,5,2211
380,Road_380,Highway,3,3520
381,Road_381,Suburbs,4,1295
382,Road_382,Highway,5,4536
383,Road_383,Downtown,3,3611
384,Road_384,Residential,3,1824
385,Road_385,Highway,1,817
386,Road_386,Downtown,2,2896
387,Road_387,Suburbs,2,2662
388,Road_388,Suburbs,5,3245
389,Road_389,Downtown,2,2091
390,Road_390,Suburbs,4,3611
391,Road_391,Downtown,2,4430
392,Road_392,Highway,5,2496
393,Road_393,Highway,2,1812
394,Road_394,Downtown,4,1785
395,Road_395,Highway,1,4811
396,Road_396,Highway,5,2883
397,Road_397,Highway,1,3739
398,Road_398,Industrial,1,2639
399,Road_399,Residential,1,2204
400,Road_400,Suburbs,3,862
401,Road_401,Industrial,3,3104
402,Road_402,Highway,1,2216
403,Road_403,Downtown,5,4951
404,Road_404,Highway,4,4786
405,Road_405,Residential,4,4238
406,Road_406,Highway,2,2969
407,Road_407,Downtown,5,1056
408,Road_408,Residential,3,1325
409,Road_409,Highway,1,3308
410,Road_410,Residential,2,3219
411,Road_411,Suburbs,4,4008
412,Road_412,Suburbs,3,4241
413,Road_413,Highway,3,2074
414,Road_414,Residential,1,4498
415,Road_415,Downtown,4,2629
416,Road_416,Highway,5,2903
417,Road_417,Suburbs,3,3829
418,Road_418,Suburbs,1,1088
419,Road_419,Highway,5,2512
420,Road_420,Residential,4,2047
421,Road_421,Suburbs,3,794
422,Road_422,Residential,5,2485
423,Road_423,Suburbs,5,3617
424,Road_424,Suburbs,5,2190
425,Road_425,Industrial,3,1636
426,Road_426,Suburbs,3,2564
427,Road_427,Downtown,2,4955
428,Road_428,Highway,4,1507
429,Road_429,Highway,1,3014
430,Road_430,Residential,5,4026
431,Road_431,Suburbs,2,1747
432,Road_432,Downtown,1,4402
433,Road_433,Residential,2,1935
434,Road_434,Industrial,3,1071
435,Road_435,Residential,5,2882
436,Road_436,Residential,1,1745
437,Road_437,Suburbs,1,2584
438,Road_438,Industrial,1,777
439,Road_439,Residential,1,2387
440,Road_440,Downtown,1,1765
441,Road_441,Downtown,2,1540
442,Road_442,Highway,5,1417
443,Road_443,Industrial,3,1385
444,Road_444,Industrial,3,3252
445,Road_445,Highway,3,521
446,Road_446,Residential,3,3691
447,Road_447,Industrial,2,2853
448,Road_448,Downtown,4,1186
449,Road_449,Downtown,5,784
450,Road_450,Suburbs,1,4247
451,Road_451,Industrial,4,1262
452,Road_452,Residential,3,2928
453,Road_453,Highway,4,3007
454,Road_454,Highway,5,528
455,Road_455,Residential,1,1406
456,Road_456,Suburbs,1,3604
457,Road_457,Highway,5,4499
458,Road_458,Industrial,5,3494
459,Road_459,Suburbs,3,3006
460,Road_460,Industrial,1,4109
461,Road_461,Downtown,4,4053
462,Road_462,Suburbs,2,1953
463,Road_463,Highway,2,3856
464,Road_464,Suburbs,5,1015
465,Road_465,Suburbs,3,538
466,Road_466,Suburbs,2,3842
467,Road_467,Suburbs,1,1386
468,Road_468,Industrial,5,3344
469,Road_469,Downtown,4,2704
470,Road_470,Residential,5,1598
471,Road_471,Suburbs,4,2323
472,Road_472,Highway,5,3701
473,Road_473,Suburbs,5,3655
474,Road_474,Highway,5,3593
475,Road_475,Industrial,4,4030
476,Road_476,Highway,4,4278
477,Road_477,Residential,5,3396
478,Road_478,Downtown,2,3953
479,Road_479,Highway,3,4011
480,Road_480,Highway,3,1488
481,Road_481,Downtown,3,4616
482,Road_482,Residential,4,4526
483,Road_483,Suburbs,4,4679
484,Road_484,Highway,2,2182
485,Road_485,Downtown,3,4463
486,Road_486,Industrial,3,1433
487,Road_487,Downtown,5,4098
488,Road_488,Industrial,4,3733
489,Road_489,Residential,3,2480
490,Road_490,Suburbs,2,2355
491,Road_491,Downtown,2,3556
492,Road_492,Highway,3,1292
493,Road_493,Residential,4,1291
494,Road_494,Downtown,2,2309
495,Road_495,Highway,5,2755
496,Road_496,Downtown,2,4110
497,Road_497,Industrial,1,2107
498,Road_498,Downtown,1,1484
499,Road_499,Downtown,4,4176
500,Road_500,Downtown,3,3880
