accident_id,date_time,road_segment_id,severity,vehicles_involved,casualties
118,2025-03-16 20:34:00,116,Critical,7,0
119,2025-04-02 11:22:00,162,Critical,3,3
120,2025-03-28 06:48:00,67,Low,2,4
121,2025-03-24 05:02:00,200,High,7,1
122,2025-03-17 02:45:00,31,Medium,5,0
123,2025-03-14 01:50:00,75,High,1,0
124,2025-03-06 20:12:00,237,Critical,1,3
125,2025-03-03 13:06:00,327,High,9,4
126,2025-03-26 17:25:00,493,Low,5,4
127,2025-03-15 10:26:00,66,Low,1,3
128,2025-03-04 19:55:00,70,Medium,7,0
129,2025-03-30 03:33:00,297,Medium,9,1
130,2025-03-19 11:47:00,447,Critical,1,0
131,2025-03-11 13:18:00,416,Medium,4,4
132,2025-03-03 18:25:00,20,High,3,0
133,2025-04-01 21:03:00,441,Low,5,1
134,2025-03-29 10:15:00,226,Low,7,2
135,2025-03-21 11:15:00,434,Low,8,0
136,2025-03-28 22:16:00,464,Medium,2,3
137,2025-03-14 11:23:00,409,Low,7,2
138,2025-03-03 13:21:00,396,Low,1,3
139,2025-03-19 01:39:00,199,Low,7,3
140,2025-03-20 03:46:00,39,Critical,8,3
141,2025-04-04 12:44:00,145,Critical,2,0
142,2025-03-30 08:52:00,45,Medium,9,4
143,2025-03-27 01:21:00,395,Low,1,2
144,2025-03-28 16:10:00,326,Medium,6,1
145,2025-03-26 12:50:00,381,Low,1,4
146,2025-03-04 21:49:00,407,Low,3,0
147,2025-03-20 05:50:00,91,Low,6,3
148,2025-03-22 01:28:00,238,Medium,3,1
149,2025-03-09 12:38:00,70,Medium,8,2
150,2025-03-06 20:17:00,166,Low,5,4
151,2025-03-25 03:25:00,130,High,2,4
152,2025-03-07 05:23:00,214,Medium,4,1
153,2025-04-03 17:12:00,340,Critical,9,0
154,2025-03-26 21:32:00,89,Medium,4,2
155,2025-03-18 08:49:00,335,Low,8,1
156,2025-03-20 05:15:00,252,High,5,3
157,2025-03-26 02:55:00,369,Low,1,2
158,2025-03-05 16:11:00,349,Critical,7,4
159,2025-03-29 04:03:00,72,Medium,3,1
160,2025-03-08 20:52:00,165,Medium,8,4
161,2025-03-14 07:37:00,49,Low,3,4
162,2025-03-17 11:18:00,52,Low,1,4
163,2025-03-03 00:31:00,289,Critical,5,0
164,2025-03-14 01:19:00,278,High,2,4
165,2025-04-04 07:22:00,114,Critical,4,3
166,2025-03-11 13:14:00,239,High,1,3
167,2025-03-04 10:31:00,133,Medium,9,2
168,2025-03-29 09:06:00,487,High,6,4
169,2025-03-20 16:13:00,274,High,8,4
170,2025-03-16 01:13:00,166,Medium,4,1
171,2025-04-03 22:45:00,374,Medium,9,0
172,2025-03-29 09:10:00,373,Medium,2,2
173,2025-03-04 20:45:00,293,Critical,9,4
174,2025-03-16 20:21:00,478,Medium,5,1
175,2025-03-18 16:54:00,243,Low,6,0
176,2025-03-24 13:41:00,479,Medium,3,2
177,2025-03-06 23:44:00,320,Medium,4,2
178,2025-04-02 18:02:00,138,Medium,6,4
179,2025-04-01 23:04:00,79,High,7,2
180,2025-03-01 13:55:00,170,Critical,1,1
181,2025-03-13 22:46:00,123,Medium,7,2
182,2025-03-09 05:04:00,176,Critical,1,3
183,2025-03-26 22:15:00,300,Low,5,1
184,2025-03-03 15:35:00,82,Low,6,0
185,2025-04-04 07:18:00,87,Medium,2,0
186,2025-03-02 16:29:00,225,Low,9,4
187,2025-03-30 03:10:00,16,Critical,6,4
188,2025-03-30 02:06:00,310,High,7,3
189,2025-03-31 19:58:00,358,Medium,8,0
190,2025-03-02 19:27:00,163,Low,1,0
191,2025-03-18 19:30:00,98,Critical,8,0
192,2025-03-27 20:58:00,156,Critical,4,0
193,2025-03-23 11:13:00,2,Low,8,2
194,2025-03-26 13:10:00,350,Critical,6,1
195,2025-03-09 07:51:00,397,Critical,9,1
196,2025-03-15 16:48:00,169,Medium,4,3
197,2025-03-22 14:19:00,464,Critical,2,2
198,2025-03-28 08:25:00,315,Low,2,0
199,2025-03-25 22:39:00,325,Medium,5,0
200,2025-03-22 19:36:00,375,Low,9,4
201,2025-03-04 21:00:00,92,High,3,4
202,2025-03-05 21:34:00,181,Low,8,3
203,2025-03-17 17:30:00,231,Low,4,0
204,2025-03-29 01:07:00,301,Medium,6,3
205,2025-03-11 23:43:00,148,Critical,6,2
206,2025-04-01 22:55:00,280,Low,3,1
207,2025-03-26 22:21:00,189,Medium,5,0
208,2025-03-11 15:39:00,347,High,3,2
209,2025-03-03 10:11:00,350,Medium,1,0
210,2025-03-01 11:46:00,314,Medium,7,4
211,2025-03-23 04:37:00,493,Critical,4,3
212,2025-03-11 22:08:00,411,Low,7,4
213,2025-03-05 20:37:00,410,High,3,1
214,2025-03-27 09:21:00,128,Medium,5,4
215,2025-03-27 18:03:00,7,Low,5,0
216,2025-03-18 11:23:00,426,Low,2,4
217,2025-03-13 07:18:00,47,Medium,2,0
218,2025-03-16 06:12:00,53,Low,4,1
219,2025-03-13 15:51:00,187,Medium,4,4
220,2025-03-28 12:19:00,38,Medium,4,3
221,2025-03-09 10:06:00,453,Medium,6,3
222,2025-03-17 09:15:00,471,High,2,3
223,2025-03-29 05:13:00,476,Medium,6,4
224,2025-03-09 09:58:00,226,Critical,7,4
225,2025-03-03 07:17:00,53,Low,3,4
226,2025-04-01 05:40:00,399,High,8,0
227,2025-03-31 15:15:00,224,Low,2,1
228,2025-03-30 23:18:00,154,High,8,3
229,2025-04-03 01:51:00,48,Critical,5,0
230,2025-04-04 05:56:00,351,High,2,3
231,2025-03-28 15:48:00,147,High,7,0
232,2025-03-11 18:24:00,393,High,2,4
233,2025-03-03 02:57:00,64,Low,6,3
234,2025-03-19 12:20:00,349,Medium,3,4
235,2025-03-26 19:56:00,182,Low,9,3
236,2025-03-01 06:42:00,125,Medium,3,2
237,2025-03-06 23:25:00,179,Low,3,0
238,2025-03-11 22:41:00,39,Critical,5,2
239,2025-03-19 18:43:00,260,Critical,7,0
240,2025-03-24 08:35:00,382,High,8,1
241,2025-03-10 13:39:00,3,Critical,7,3
242,2025-03-11 12:35:00,64,High,9,1
243,2025-03-29 10:58:00,29,Medium,5,1
244,2025-03-24 00:12:00,372,Critical,3,0
245,2025-03-17 13:31:00,11,Medium,6,2
246,2025-03-11 16:06:00,97,Low,5,4
247,2025-03-20 17:28:00,358,Medium,4,0
248,2025-03-05 13:31:00,442,Low,2,4
249,2025-04-04 12:51:00,203,Medium,7,1
250,2025-03-10 17:37:00,411,Medium,5,4
251,2025-03-28 05:56:00,481,Critical,4,2
252,2025-03-03 21:10:00,21,Medium,8,0
253,2025-04-01 19:53:00,39,Critical,9,2
254,2025-03-14 11:43:00,223,Critical,9,2
255,2025-03-03 20:57:00,102,High,3,0
256,2025-03-21 19:52:00,46,High,3,2
257,2025-04-01 06:04:00,66,Low,5,3
258,2025-03-21 01:42:00,91,Medium,5,3
259,2025-04-04 10:44:00,164,Low,2,3
260,2025-04-01 04:41:00,459,Medium,1,4
261,2025-03-10 14:33:00,111,High,8,2
262,2025-03-01 23:01:00,338,High,3,0
263,2025-03-06 15:54:00,123,Medium,1,0
264,2025-03-24 18:35:00,193,Medium,1,4
265,2025-03-10 07:59:00,447,High,2,0
266,2025-03-14 06:42:00,99,High,6,3
267,2025-03-17 15:16:00,291,Low,6,2
268,2025-03-12 23:44:00,159,High,3,0
269,2025-04-01 02:14:00,412,Medium,4,0
270,2025-03-03 04:29:00,103,Low,2,1
271,2025-03-18 03:00:00,385,Medium,2,1
272,2025-03-29 05:40:00,281,Critical,7,1
273,2025-03-15 06:08:00,43,Low,1,2
274,2025-04-03 23:04:00,486,Medium,7,3
275,2025-03-01 19:28:00,84,High,1,3
276,2025-04-01 08:04:00,451,Critical,6,3
277,2025-03-25 22:17:00,191,Medium,3,2
278,2025-03-11 10:32:00,51,Low,8,2
279,2025-03-25 12:14:00,386,Medium,6,1
280,2025-03-31 10:27:00,210,Critical,2,0
281,2025-03-03 10:36:00,126,Low,8,4
282,2025-03-14 17:11:00,492,Critical,5,4
283,2025-03-22 02:13:00,448,Medium,8,0
284,2025-03-22 00:30:00,458,High,8,1
285,2025-03-08 05:06:00,69,High,6,0
286,2025-03-26 05:23:00,265,Medium,2,0
287,2025-04-03 21:00:00,258,Medium,8,4
288,2025-03-10 19:57:00,418,Medium,6,1
289,2025-03-27 07:19:00,188,Low,6,2
290,2025-03-28 10:40:00,230,Critical,8,4
291,2025-04-04 10:37:00,189,Critical,1,2
292,2025-03-28 04:12:00,415,Critical,2,1
293,2025-03-03 12:26:00,10,Medium,9,0
294,2025-03-15 04:00:00,114,Critical,8,3
295,2025-03-26 10:43:00,76,Medium,7,3
296,2025-03-27 13:45:00,164,Low,7,1
297,2025-03-12 02:19:00,85,High,5,3
298,2025-03-09 00:09:00,49,Medium,2,2
299,2025-03-12 13:25:00,495,Medium,6,3
300,2025-03-19 08:24:00,326,High,3,1
301,2025-03-10 07:02:00,496,High,4,1
302,2025-03-03 19:05:00,177,Low,2,2
303,2025-03-31 00:26:00,387,Critical,2,3
304,2025-03-10 14:44:00,458,Medium,8,3
305,2025-03-03 21:35:00,389,Critical,8,0
306,2025-03-22 04:39:00,494,Medium,6,4
307,2025-03-07 08:54:00,218,Low,5,1
308,2025-03-03 09:23:00,189,High,8,0
309,2025-03-15 20:35:00,469,Low,4,1
310,2025-03-08 10:45:00,493,High,4,0
311,2025-03-24 05:41:00,346,Critical,5,4
312,2025-03-29 13:15:00,230,Critical,1,0
313,2025-03-31 22:28:00,255,Low,1,1
314,2025-03-22 18:31:00,236,High,2,3
315,2025-03-13 15:16:00,26,Low,8,1
316,2025-04-02 08:49:00,72,High,7,2
317,2025-03-10 21:34:00,261,High,9,2
318,2025-03-10 17:41:00,254,Critical,5,2
319,2025-04-02 00:56:00,271,Critical,2,2
320,2025-03-04 23:24:00,123,High,7,4
321,2025-03-20 22:10:00,144,High,8,3
322,2025-03-01 23:27:00,257,High,7,3
323,2025-03-06 13:52:00,144,Critical,7,1
324,2025-04-02 21:00:00,421,Critical,5,0
325,2025-03-13 08:34:00,259,Medium,2,1
326,2025-03-14 19:21:00,436,High,6,1
327,2025-03-15 09:56:00,47,Medium,4,1
328,2025-03-28 21:22:00,351,High,2,1
329,2025-03-21 10:16:00,13,Critical,9,3
330,2025-04-04 12:23:00,376,Medium,7,0
331,2025-03-31 19:14:00,208,Medium,6,1
332,2025-03-18 21:12:00,311,Low,5,3
333,2025-03-09 23:26:00,235,High,3,1
334,2025-03-24 10:45:00,149,Critical,4,2
335,2025-03-10 23:50:00,322,Low,3,1
336,2025-03-27 23:47:00,438,Low,8,1
337,2025-03-16 05:39:00,155,High,3,4
338,2025-03-19 23:07:00,166,Low,7,2
339,2025-03-22 09:48:00,90,High,7,0
340,2025-03-20 19:13:00,186,Low,7,1
341,2025-03-18 00:22:00,318,High,7,0
342,2025-03-21 21:03:00,358,Critical,2,2
343,2025-03-16 14:46:00,174,High,3,1
344,2025-04-02 03:17:00,217,High,9,4
345,2025-03-27 13:38:00,395,Medium,3,3
346,2025-03-23 00:12:00,456,Critical,2,4
347,2025-03-27 15:44:00,264,Critical,9,4
348,2025-03-12 01:58:00,97,Critical,9,3
349,2025-03-25 07:36:00,117,Low,4,3
350,2025-03-12 23:12:00,199,Medium,9,3
351,2025-03-08 11:08:00,320,Critical,3,1
352,2025-03-08 07:14:00,486,Low,7,0
353,2025-03-16 18:58:00,21,Low,7,0
354,2025-03-07 00:55:00,200,Low,8,3
355,2025-03-06 14:30:00,371,Medium,4,4
356,2025-03-20 06:45:00,447,Low,3,2
357,2025-03-29 22:22:00,341,Medium,3,3
358,2025-03-22 08:41:00,448,High,5,4
359,2025-03-12 14:18:00,248,Low,1,4
360,2025-03-11 12:03:00,276,Critical,3,1
361,2025-03-25 09:44:00,264,Low,6,1
362,2025-03-18 18:56:00,58,High,3,0
363,2025-03-26 19:06:00,302,High,5,0
364,2025-03-08 18:22:00,31,Low,9,2
365,2025-03-18 05:53:00,498,High,2,2
366,2025-03-24 03:42:00,249,Medium,2,2
367,2025-03-22 18:11:00,93,Medium,6,2
368,2025-04-02 00:18:00,496,Low,6,4
369,2025-03-19 03:28:00,265,Medium,8,4
370,2025-03-22 21:56:00,271,Medium,2,0
371,2025-03-16 06:09:00,94,Critical,9,1
372,2025-03-16 04:36:00,154,Low,2,1
373,2025-03-07 05:09:00,394,High,1,3
374,2025-03-18 00:38:00,285,Low,2,4
375,2025-03-04 22:30:00,80,Medium,7,2
376,2025-03-17 17:39:00,292,Critical,8,2
377,2025-03-28 07:35:00,84,Low,5,3
378,2025-03-09 19:56:00,365,Low,6,1
379,2025-03-28 00:05:00,374,Medium,1,2
380,2025-03-06 10:37:00,37,Medium,6,1
381,2025-04-04 06:35:00,342,Low,8,3
382,2025-04-02 20:19:00,327,Medium,3,1
383,2025-03-14 07:19:00,407,Medium,1,1
384,2025-03-29 15:46:00,425,Medium,4,1
385,2025-03-26 14:37:00,232,Medium,1,2
386,2025-03-15 23:20:00,93,Medium,8,0
387,2025-03-12 21:06:00,336,Critical,5,4
388,2025-04-02 03:29:00,102,Medium,1,1
389,2025-03-07 01:20:00,412,High,8,1
390,2025-03-27 03:41:00,432,Low,9,1
391,2025-04-04 08:55:00,166,Critical,2,0
392,2025-03-20 16:42:00,159,Critical,9,3
393,2025-03-20 14:58:00,14,Medium,8,2
394,2025-03-16 03:02:00,373,Low,7,0
395,2025-03-29 14:08:00,225,High,3,1
396,2025-03-15 16:00:00,73,Medium,2,0
397,2025-03-14 17:50:00,249,Low,7,0
398,2025-03-20 09:12:00,91,Medium,5,0
399,2025-04-02 21:34:00,216,Medium,6,3
400,2025-03-30 19:07:00,461,Medium,4,4
401,2025-03-25 04:12:00,90,Medium,2,2
402,2025-04-04 10:10:00,29,Medium,9,3
403,2025-03-26 02:40:00,435,Medium,3,3
404,2025-03-14 07:16:00,305,Medium,7,4
405,2025-03-08 09:52:00,427,High,8,3
406,2025-03-11 00:44:00,476,Critical,2,0
407,2025-03-05 17:04:00,220,High,6,0
408,2025-03-13 10:49:00,328,Medium,8,1
409,2025-03-01 17:50:00,215,Medium,7,3
410,2025-03-16 21:46:00,221,High,3,1
411,2025-03-25 00:58:00,389,High,1,2
412,2025-04-01 08:38:00,42,Critical,6,0
413,2025-03-03 00:59:00,135,High,8,2
414,2025-03-21 17:21:00,42,Critical,6,4
415,2025-03-30 18:23:00,164,Medium,5,0
416,2025-03-12 07:41:00,361,Low,8,2
417,2025-03-05 23:54:00,283,Low,2,4
418,2025-03-05 01:31:00,58,Low,1,2
419,2025-03-12 08:58:00,302,Low,1,4
420,2025-03-01 11:18:00,322,Medium,4,4
421,2025-03-22 06:40:00,25,Low,6,0
422,2025-03-24 10:36:00,73,High,9,1
423,2025-03-21 16:17:00,373,High,1,4
424,2025-03-19 04:23:00,411,Low,1,4
425,2025-03-20 01:25:00,129,High,5,0
426,2025-03-02 01:02:00,87,Critical,5,1
427,2025-03-16 01:05:00,330,Medium,5,3
428,2025-03-12 05:58:00,426,Low,6,3
429,2025-03-15 20:51:00,436,Low,8,1
430,2025-03-12 00:27:00,153,Medium,3,2
431,2025-03-10 21:46:00,182,High,9,0
432,2025-03-28 09:02:00,125,Medium,1,1
433,2025-03-25 10:48:00,67,Medium,4,3
434,2025-03-30 20:42:00,6,High,9,4
435,2025-03-22 16:13:00,125,Medium,8,3
436,2025-03-06 02:47:00,314,High,9,4
437,2025-03-10 08:50:00,326,High,1,0
438,2025-03-25 13:22:00,53,Medium,9,4
439,2025-03-27 14:05:00,66,Critical,3,1
440,2025-03-07 09:39:00,314,High,9,4
441,2025-03-05 09:10:00,82,Medium,1,2
442,2025-03-26 05:07:00,87,High,1,1
443,2025-03-21 13:51:00,2,Critical,9,0
444,2025-03-11 05:44:00,204,Critical,6,1
445,2025-03-14 19:07:00,150,Low,4,2
446,2025-03-13 22:25:00,293,High,7,0
447,2025-03-05 10:18:00,404,High,5,3
448,2025-03-14 07:09:00,103,Medium,7,2
449,2025-03-30 06:13:00,24,High,8,0
450,2025-03-08 22:22:00,368,Low,8,4
451,2025-03-20 09:26:00,212,Critical,1,1
452,2025-03-27 03:59:00,65,Critical,8,0
453,2025-03-24 00:51:00,449,Low,6,1
454,2025-03-10 03:40:00,209,High,4,4
455,2025-03-19 23:01:00,251,High,8,0
456,2025-03-26 15:31:00,385,Low,3,3
457,2025-03-17 16:14:00,117,Medium,4,2
458,2025-04-04 04:39:00,116,Critical,6,0
459,2025-03-22 11:36:00,237,Low,7,4
460,2025-03-10 22:56:00,478,Low,4,0
461,2025-03-16 10:00:00,105,High,4,1
462,2025-03-04 19:10:00,495,Critical,7,0
463,2025-03-22 10:19:00,259,High,6,3
464,2025-03-11 09:13:00,46,Low,8,0
465,2025-03-28 02:44:00,311,Medium,1,2
466,2025-03-27 17:47:00,331,Critical,7,0
467,2025-03-20 01:13:00,216,Low,7,1
468,2025-03-19 00:37:00,470,Low,7,0
469,2025-03-05 12:43:00,448,Medium,7,3
470,2025-03-15 20:27:00,492,Low,8,4
471,2025-04-03 04:01:00,301,Low,9,0
472,2025-03-22 15:29:00,410,Critical,9,0
473,2025-04-01 16:41:00,333,Critical,2,2
474,2025-03-16 23:10:00,449,Critical,7,3
475,2025-03-21 14:21:00,24,High,7,4
476,2025-03-10 07:39:00,458,Medium,4,1
477,2025-03-11 00:57:00,35,Critical,9,0
478,2025-03-02 10:24:00,24,High,8,4
479,2025-03-27 10:43:00,28,High,1,1
480,2025-03-08 08:06:00,484,Medium,2,3
481,2025-03-23 23:25:00,464,Medium,2,3
482,2025-03-22 21:28:00,488,Low,8,4
483,2025-03-05 06:10:00,16,High,1,1
484,2025-03-28 21:47:00,59,Critical,4,3
485,2025-03-02 10:02:00,465,Medium,5,4
486,2025-03-04 04:38:00,243,High,9,3
487,2025-03-30 20:22:00,438,Critical,7,3
488,2025-03-23 20:06:00,207,High,8,3
489,2025-03-24 05:57:00,400,Medium,9,2
490,2025-04-03 18:25:00,271,Low,7,1
491,2025-03-20 22:36:00,249,High,5,4
492,2025-03-09 18:01:00,482,Critical,5,4
493,2025-03-26 00:18:00,267,Medium,6,1
494,2025-03-06 14:21:00,193,Low,5,1
495,2025-03-06 23:29:00,335,Critical,9,1
496,2025-03-25 13:31:00,218,Critical,3,1
497,2025-04-01 02:54:00,115,Critical,3,0
498,2025-03-13 03:25:00,68,High,7,4
499,2025-03-15 10:45:00,299,Medium,7,0
500,2025-03-06 10:57:00,325,Critical,6,3
