ride_id,route_id,vehicle_type,boarding_stop,alighting_stop,passenger_count,fare,timestamp
81,90,Metro,Stop_1,Stop_41,35,28.42,2025-03-06 02:42:00
82,4,Tram,Stop_37,Stop_36,57,49.76,2025-02-25 11:08:00
83,90,Tram,Stop_22,Stop_46,85,14.08,2025-03-01 19:45:00
84,9,Tram,Stop_6,Stop_19,61,16.61,2025-03-05 10:08:00
85,5,Metro,Stop_21,Stop_35,31,10.11,2025-02-17 01:10:00
86,56,Metro,Stop_32,Stop_46,83,46.29,2025-02-08 11:14:00
87,96,Bus,Stop_35,Stop_40,95,40.0,2025-02-19 12:15:00
88,84,Metro,Stop_15,Stop_28,53,42.01,2025-03-03 06:41:00
89,50,Metro,Stop_5,Stop_1,32,45.62,2025-02-03 03:54:00
90,75,Tram,Stop_46,Stop_42,66,28.62,2025-02-19 09:42:00
91,15,Metro,Stop_50,Stop_18,59,25.3,2025-03-07 13:28:00
92,32,Tram,Stop_48,Stop_48,10,19.87,2025-03-06 10:08:00
93,28,Tram,Stop_6,Stop_40,2,31.51,2025-02-14 21:48:00
94,22,Metro,Stop_25,Stop_33,66,25.44,2025-02-13 05:07:00
95,17,Bus,Stop_46,Stop_12,60,25.32,2025-03-02 15:59:00
96,59,Bus,Stop_40,Stop_8,88,47.16,2025-02-25 12:53:00
97,90,Metro,Stop_29,Stop_24,17,49.28,2025-02-03 04:54:00
98,71,Bus,Stop_7,Stop_16,96,40.84,2025-02-25 13:58:00
99,57,Tram,Stop_40,Stop_50,16,39.05,2025-02-25 22:49:00
100,26,Tram,Stop_13,Stop_4,16,35.63,2025-02-04 00:01:00
101,25,Metro,Stop_38,Stop_38,46,12.47,2025-02-22 03:15:00
102,10,Bus,Stop_18,Stop_44,39,7.66,2025-03-04 22:12:00
103,45,Bus,Stop_2,Stop_27,31,36.08,2025-02-05 22:19:00
104,83,Tram,Stop_8,Stop_9,88,37.8,2025-02-17 12:00:00
105,11,Metro,Stop_11,Stop_47,1,7.11,2025-02-08 21:20:00
106,77,Bus,Stop_33,Stop_16,11,46.76,2025-02-08 03:53:00
107,53,Metro,Stop_38,Stop_12,85,9.1,2025-03-05 03:10:00
108,72,Bus,Stop_48,Stop_31,4,17.87,2025-02-15 05:02:00
109,68,Tram,Stop_27,Stop_24,71,35.26,2025-02-05 00:41:00
110,95,Tram,Stop_20,Stop_14,26,12.64,2025-02-10 19:30:00
111,28,Metro,Stop_12,Stop_45,50,7.49,2025-02-10 21:51:00
112,75,Tram,Stop_43,Stop_25,12,19.9,2025-02-12 03:55:00
113,65,Bus,Stop_31,Stop_34,95,39.47,2025-02-26 15:19:00
114,49,Tram,Stop_27,Stop_3,81,23.62,2025-03-01 22:39:00
115,47,Metro,Stop_32,Stop_24,97,34.38,2025-02-14 04:24:00
116,52,Metro,Stop_10,Stop_42,75,31.08,2025-02-16 15:59:00
117,88,Metro,Stop_3,Stop_9,92,6.0,2025-02-09 22:21:00
118,54,Bus,Stop_45,Stop_26,96,49.48,2025-02-24 05:14:00
119,60,Bus,Stop_27,Stop_20,65,6.86,2025-02-12 13:47:00
120,57,Bus,Stop_35,Stop_40,47,48.55,2025-02-05 01:20:00
121,47,Bus,Stop_31,Stop_10,92,29.74,2025-02-03 11:25:00
122,31,Bus,Stop_15,Stop_19,53,48.34,2025-03-02 23:54:00
123,46,Tram,Stop_16,Stop_3,71,10.16,2025-02-15 13:37:00
124,26,Bus,Stop_13,Stop_24,2,27.07,2025-02-15 15:58:00
125,5,Bus,Stop_49,Stop_5,24,12.63,2025-02-16 17:21:00
126,84,Tram,Stop_35,Stop_3,4,7.29,2025-02-06 02:46:00
127,52,Bus,Stop_11,Stop_27,19,32.79,2025-02-19 11:56:00
128,75,Metro,Stop_21,Stop_16,26,14.35,2025-02-11 20:30:00
129,54,Bus,Stop_11,Stop_49,75,31.45,2025-02-14 22:16:00
130,33,Bus,Stop_30,Stop_15,40,10.06,2025-02-06 03:02:00
131,50,Metro,Stop_48,Stop_35,50,19.94,2025-02-12 05:09:00
132,38,Metro,Stop_35,Stop_12,43,40.17,2025-03-06 18:39:00
133,27,Metro,Stop_22,Stop_41,75,24.67,2025-03-04 23:21:00
134,98,Metro,Stop_38,Stop_44,67,33.25,2025-02-01 16:32:00
135,15,Bus,Stop_31,Stop_26,12,34.14,2025-02-05 18:18:00
136,96,Metro,Stop_14,Stop_47,67,42.97,2025-02-02 11:21:00
137,61,Metro,Stop_24,Stop_34,27,19.62,2025-02-19 20:40:00
138,21,Tram,Stop_50,Stop_23,54,35.93,2025-03-04 08:36:00
139,46,Metro,Stop_49,Stop_31,66,48.27,2025-02-15 12:26:00
140,69,Metro,Stop_32,Stop_50,49,37.86,2025-02-14 14:12:00
141,6,Tram,Stop_36,Stop_20,16,27.04,2025-02-03 20:56:00
142,38,Tram,Stop_32,Stop_12,2,33.38,2025-02-12 14:47:00
143,62,Bus,Stop_15,Stop_23,60,38.29,2025-02-23 08:07:00
144,86,Tram,Stop_43,Stop_4,54,32.55,2025-03-04 13:01:00
145,62,Bus,Stop_35,Stop_23,30,5.75,2025-02-11 17:59:00
146,82,Tram,Stop_3,Stop_48,84,13.76,2025-02-22 18:56:00
147,78,Tram,Stop_16,Stop_48,38,41.47,2025-02-04 08:23:00
148,74,Bus,Stop_5,Stop_1,28,17.27,2025-02-04 10:00:00
149,46,Tram,Stop_21,Stop_25,25,37.92,2025-02-14 14:25:00
150,13,Bus,Stop_10,Stop_2,96,21.75,2025-02-27 13:19:00
151,95,Tram,Stop_19,Stop_30,10,28.48,2025-02-12 23:52:00
152,94,Metro,Stop_25,Stop_3,60,8.06,2025-02-19 11:39:00
153,3,Tram,Stop_4,Stop_21,42,13.16,2025-02-07 14:53:00
154,94,Bus,Stop_29,Stop_25,40,48.07,2025-02-28 16:55:00
155,6,Tram,Stop_19,Stop_20,97,45.06,2025-02-03 14:00:00
156,93,Bus,Stop_43,Stop_49,77,34.35,2025-02-14 09:07:00
157,8,Bus,Stop_2,Stop_22,42,25.68,2025-02-11 21:36:00
158,44,Metro,Stop_10,Stop_21,47,35.41,2025-02-21 19:28:00
159,33,Metro,Stop_43,Stop_33,37,32.84,2025-02-17 05:05:00
160,81,Bus,Stop_25,Stop_38,80,30.58,2025-02-18 20:13:00
161,75,Tram,Stop_20,Stop_15,22,7.66,2025-02-14 11:05:00
162,77,Bus,Stop_48,Stop_46,57,33.48,2025-02-13 14:02:00
163,50,Bus,Stop_19,Stop_15,84,39.6,2025-02-01 22:44:00
164,11,Tram,Stop_23,Stop_46,27,49.73,2025-02-02 21:08:00
165,95,Tram,Stop_24,Stop_25,41,5.5,2025-02-10 00:22:00
166,28,Tram,Stop_11,Stop_21,80,37.86,2025-02-13 00:28:00
167,70,Tram,Stop_46,Stop_24,34,30.73,2025-02-23 20:39:00
168,41,Bus,Stop_34,Stop_5,32,24.53,2025-02-18 11:21:00
169,16,Bus,Stop_28,Stop_6,90,10.74,2025-02-25 08:49:00
170,68,Metro,Stop_5,Stop_49,89,23.41,2025-02-10 15:05:00
171,99,Bus,Stop_5,Stop_43,66,20.95,2025-02-01 08:15:00
172,48,Tram,Stop_21,Stop_48,12,18.63,2025-03-04 01:55:00
173,56,Metro,Stop_12,Stop_44,40,37.89,2025-02-02 11:48:00
174,64,Tram,Stop_50,Stop_47,73,36.53,2025-02-24 03:24:00
175,59,Bus,Stop_4,Stop_23,76,31.51,2025-02-10 07:13:00
176,90,Metro,Stop_49,Stop_4,90,47.24,2025-02-02 01:52:00
177,62,Tram,Stop_42,Stop_27,73,20.74,2025-02-25 21:33:00
178,76,Metro,Stop_20,Stop_18,10,15.97,2025-02-23 20:44:00
179,11,Metro,Stop_38,Stop_21,96,34.52,2025-02-07 04:46:00
180,89,Bus,Stop_25,Stop_28,98,13.95,2025-02-22 10:11:00
181,18,Tram,Stop_14,Stop_35,48,19.18,2025-02-17 14:09:00
182,19,Metro,Stop_11,Stop_22,20,15.11,2025-02-28 17:30:00
183,87,Metro,Stop_32,Stop_40,39,8.11,2025-02-06 14:15:00
184,55,Tram,Stop_11,Stop_23,60,42.24,2025-02-04 05:34:00
185,82,Metro,Stop_18,Stop_3,66,16.45,2025-02-16 17:14:00
186,26,Metro,Stop_27,Stop_40,65,26.29,2025-02-23 11:23:00
187,6,Metro,Stop_18,Stop_50,51,6.95,2025-02-08 23:08:00
188,4,Tram,Stop_23,Stop_10,36,36.47,2025-02-23 20:42:00
189,29,Tram,Stop_11,Stop_25,24,19.88,2025-03-01 06:38:00
190,59,Tram,Stop_21,Stop_49,27,38.51,2025-03-06 09:31:00
191,98,Tram,Stop_44,Stop_8,2,23.56,2025-02-13 01:40:00
192,17,Bus,Stop_5,Stop_11,31,13.81,2025-02-19 15:50:00
193,43,Metro,Stop_23,Stop_5,57,28.09,2025-02-26 23:14:00
194,80,Tram,Stop_41,Stop_45,78,10.87,2025-02-10 21:39:00
195,66,Metro,Stop_25,Stop_37,66,24.82,2025-02-11 07:53:00
196,34,Metro,Stop_41,Stop_45,29,19.28,2025-02-10 00:56:00
197,8,Bus,Stop_10,Stop_38,15,46.04,2025-03-02 06:17:00
198,13,Tram,Stop_22,Stop_29,12,7.74,2025-02-01 02:33:00
199,8,Tram,Stop_19,Stop_5,28,36.23,2025-02-06 10:53:00
200,94,Metro,Stop_1,Stop_9,84,13.22,2025-02-09 14:19:00
201,96,Tram,Stop_7,Stop_48,24,19.36,2025-02-11 23:12:00
202,94,Metro,Stop_4,Stop_2,21,23.7,2025-02-27 15:27:00
203,65,Metro,Stop_1,Stop_1,10,45.86,2025-02-13 13:40:00
204,43,Bus,Stop_15,Stop_40,78,15.92,2025-03-06 00:33:00
205,39,Bus,Stop_40,Stop_30,18,9.11,2025-02-08 16:09:00
206,81,Bus,Stop_12,Stop_11,88,19.34,2025-02-01 13:06:00
207,59,Metro,Stop_22,Stop_28,14,9.71,2025-02-04 00:48:00
208,84,Tram,Stop_22,Stop_44,34,10.79,2025-02-22 07:39:00
209,88,Bus,Stop_50,Stop_12,58,30.82,2025-03-06 02:51:00
210,86,Tram,Stop_47,Stop_39,76,7.74,2025-02-26 17:20:00
211,93,Bus,Stop_17,Stop_26,22,6.39,2025-02-20 01:34:00
212,86,Bus,Stop_29,Stop_13,70,37.15,2025-02-27 22:02:00
213,44,Metro,Stop_46,Stop_8,36,21.27,2025-02-17 09:20:00
214,9,Bus,Stop_14,Stop_28,45,10.64,2025-02-21 07:18:00
215,37,Bus,Stop_50,Stop_30,36,16.41,2025-02-18 12:41:00
216,74,Metro,Stop_20,Stop_9,22,33.89,2025-02-14 18:10:00
217,36,Tram,Stop_50,Stop_39,78,17.4,2025-02-15 00:07:00
218,92,Bus,Stop_48,Stop_31,80,27.25,2025-02-16 03:31:00
219,28,Metro,Stop_33,Stop_21,61,10.48,2025-02-28 14:59:00
220,42,Bus,Stop_43,Stop_47,56,31.46,2025-02-14 22:45:00
221,43,Metro,Stop_15,Stop_34,89,19.22,2025-03-05 12:54:00
222,85,Tram,Stop_12,Stop_31,96,33.21,2025-02-07 10:21:00
223,88,Tram,Stop_40,Stop_25,33,41.38,2025-02-14 00:13:00
224,42,Metro,Stop_20,Stop_12,45,32.52,2025-02-28 14:59:00
225,66,Metro,Stop_30,Stop_1,36,18.31,2025-02-21 04:39:00
226,55,Metro,Stop_38,Stop_22,20,16.51,2025-02-24 14:20:00
227,72,Tram,Stop_3,Stop_40,18,19.73,2025-02-10 19:41:00
228,48,Bus,Stop_28,Stop_37,38,12.41,2025-02-07 11:44:00
229,91,Tram,Stop_26,Stop_47,67,13.15,2025-02-28 09:52:00
230,22,Metro,Stop_30,Stop_1,23,40.58,2025-02-12 00:56:00
231,27,Metro,Stop_13,Stop_1,96,22.31,2025-02-17 12:57:00
232,93,Tram,Stop_13,Stop_42,16,24.62,2025-02-21 16:53:00
233,67,Metro,Stop_2,Stop_42,59,31.73,2025-02-14 02:55:00
234,13,Tram,Stop_37,Stop_21,69,31.53,2025-02-01 02:23:00
235,45,Metro,Stop_49,Stop_15,68,8.03,2025-02-08 10:01:00
236,10,Bus,Stop_38,Stop_17,21,42.42,2025-02-06 02:47:00
237,9,Bus,Stop_2,Stop_22,78,12.98,2025-02-03 05:48:00
238,54,Metro,Stop_36,Stop_38,95,37.54,2025-02-04 04:22:00
239,27,Tram,Stop_26,Stop_35,78,39.77,2025-02-10 03:07:00
240,34,Bus,Stop_11,Stop_45,70,37.17,2025-02-08 21:57:00
241,1,Tram,Stop_8,Stop_16,12,31.05,2025-02-27 22:39:00
242,32,Metro,Stop_44,Stop_8,16,5.66,2025-02-26 16:51:00
243,89,Tram,Stop_40,Stop_47,81,21.22,2025-02-10 11:27:00
244,93,Bus,Stop_43,Stop_17,87,32.22,2025-02-20 05:58:00
245,71,Tram,Stop_22,Stop_17,14,22.44,2025-03-03 17:44:00
246,67,Tram,Stop_20,Stop_26,61,43.86,2025-03-02 09:17:00
247,84,Metro,Stop_8,Stop_13,71,18.9,2025-03-06 06:34:00
248,20,Metro,Stop_29,Stop_17,46,18.21,2025-02-14 06:17:00
249,94,Metro,Stop_40,Stop_38,32,16.97,2025-02-26 15:53:00
250,35,Bus,Stop_26,Stop_17,15,19.98,2025-03-04 10:14:00
251,99,Bus,Stop_30,Stop_48,44,30.08,2025-02-28 20:16:00
252,91,Metro,Stop_17,Stop_14,17,36.82,2025-03-07 08:12:00
253,90,Metro,Stop_20,Stop_45,41,34.82,2025-02-12 21:07:00
254,78,Bus,Stop_16,Stop_6,54,41.35,2025-02-03 02:10:00
255,17,Bus,Stop_46,Stop_35,44,44.87,2025-02-04 20:35:00
256,18,Bus,Stop_43,Stop_46,98,41.72,2025-02-01 01:07:00
257,45,Bus,Stop_7,Stop_14,5,5.85,2025-02-20 17:32:00
258,93,Metro,Stop_16,Stop_47,27,38.12,2025-03-04 05:13:00
259,84,Bus,Stop_45,Stop_8,87,14.38,2025-02-24 19:45:00
260,53,Metro,Stop_47,Stop_15,78,10.98,2025-03-07 09:49:00
261,91,Tram,Stop_48,Stop_27,79,33.73,2025-02-09 00:29:00
262,82,Tram,Stop_27,Stop_13,43,19.39,2025-02-04 22:40:00
263,68,Bus,Stop_23,Stop_49,97,7.57,2025-02-18 20:59:00
264,65,Tram,Stop_24,Stop_31,31,11.19,2025-02-15 17:29:00
265,1,Tram,Stop_9,Stop_35,99,5.04,2025-03-01 19:55:00
266,58,Tram,Stop_35,Stop_6,17,45.65,2025-02-16 13:52:00
267,26,Bus,Stop_20,Stop_5,92,6.11,2025-02-11 11:56:00
268,20,Bus,Stop_37,Stop_22,83,14.43,2025-02-14 22:05:00
269,87,Tram,Stop_42,Stop_49,54,23.73,2025-02-19 06:47:00
270,10,Metro,Stop_17,Stop_23,62,21.05,2025-02-25 19:09:00
271,59,Tram,Stop_47,Stop_25,87,46.03,2025-03-03 06:57:00
272,75,Bus,Stop_31,Stop_34,32,6.81,2025-02-19 16:25:00
273,41,Bus,Stop_8,Stop_26,40,28.05,2025-02-05 21:47:00
274,5,Bus,Stop_15,Stop_47,13,35.62,2025-02-23 14:39:00
275,65,Tram,Stop_31,Stop_5,84,46.93,2025-03-02 19:19:00
276,17,Metro,Stop_30,Stop_26,35,32.92,2025-02-13 11:45:00
277,22,Bus,Stop_46,Stop_20,5,41.17,2025-02-20 00:09:00
278,98,Bus,Stop_20,Stop_6,73,8.77,2025-02-13 09:44:00
279,41,Tram,Stop_39,Stop_6,29,22.37,2025-02-16 16:54:00
280,93,Metro,Stop_12,Stop_50,70,21.83,2025-03-06 06:14:00
281,68,Tram,Stop_49,Stop_18,25,44.88,2025-02-11 20:13:00
282,69,Bus,Stop_17,Stop_4,95,11.81,2025-02-05 11:27:00
283,11,Metro,Stop_42,Stop_17,22,11.83,2025-02-04 19:39:00
284,56,Metro,Stop_30,Stop_14,66,19.79,2025-02-28 02:41:00
285,51,Bus,Stop_29,Stop_14,45,7.45,2025-02-22 17:55:00
286,21,Metro,Stop_19,Stop_13,69,13.21,2025-02-01 21:39:00
287,99,Metro,Stop_46,Stop_7,91,48.43,2025-02-28 09:49:00
288,76,Tram,Stop_11,Stop_44,89,24.27,2025-02-04 11:14:00
289,26,Bus,Stop_34,Stop_15,72,33.44,2025-02-21 17:58:00
290,19,Bus,Stop_50,Stop_19,1,37.68,2025-02-11 20:27:00
291,60,Bus,Stop_7,Stop_43,84,21.51,2025-02-06 04:49:00
292,71,Bus,Stop_44,Stop_47,44,11.63,2025-02-19 03:11:00
293,47,Bus,Stop_34,Stop_44,87,14.3,2025-02-23 11:15:00
294,71,Metro,Stop_20,Stop_35,96,19.1,2025-02-06 17:49:00
295,26,Tram,Stop_50,Stop_17,75,33.62,2025-02-02 23:11:00
296,40,Bus,Stop_38,Stop_35,39,22.92,2025-03-03 19:30:00
297,5,Tram,Stop_24,Stop_19,54,5.31,2025-02-09 04:59:00
298,21,Tram,Stop_10,Stop_20,88,28.55,2025-02-18 05:33:00
299,78,Metro,Stop_32,Stop_36,75,46.47,2025-02-16 00:37:00
300,4,Bus,Stop_15,Stop_35,29,41.54,2025-02-02 09:16:00
301,23,Metro,Stop_37,Stop_32,54,42.13,2025-03-03 19:47:00
302,84,Bus,Stop_20,Stop_48,90,40.78,2025-03-07 07:49:00
303,15,Metro,Stop_3,Stop_44,16,19.57,2025-02-03 03:29:00
304,93,Tram,Stop_37,Stop_40,99,39.43,2025-02-24 02:51:00
305,8,Bus,Stop_40,Stop_24,20,11.44,2025-02-15 08:19:00
306,41,Tram,Stop_8,Stop_17,46,34.6,2025-03-04 08:58:00
307,19,Tram,Stop_40,Stop_7,67,33.87,2025-02-22 03:09:00
308,46,Metro,Stop_44,Stop_43,65,6.15,2025-02-11 22:12:00
309,28,Bus,Stop_23,Stop_50,58,40.46,2025-02-14 13:06:00
310,91,Tram,Stop_40,Stop_1,53,45.65,2025-03-01 10:15:00
311,68,Metro,Stop_11,Stop_35,1,17.03,2025-02-04 14:30:00
312,15,Bus,Stop_46,Stop_32,81,41.56,2025-02-04 04:15:00
313,99,Bus,Stop_8,Stop_36,66,8.71,2025-03-01 02:55:00
314,37,Tram,Stop_29,Stop_13,29,32.0,2025-03-06 10:26:00
315,1,Bus,Stop_30,Stop_6,84,26.85,2025-02-25 00:05:00
316,67,Tram,Stop_10,Stop_14,70,29.57,2025-02-25 05:39:00
317,24,Bus,Stop_39,Stop_37,8,46.68,2025-02-17 11:06:00
318,27,Metro,Stop_28,Stop_48,29,44.21,2025-03-06 02:28:00
319,40,Tram,Stop_49,Stop_15,51,40.33,2025-02-16 21:24:00
320,63,Tram,Stop_36,Stop_47,33,17.32,2025-02-12 22:39:00
321,61,Bus,Stop_13,Stop_4,3,46.03,2025-03-03 15:00:00
322,36,Bus,Stop_32,Stop_40,60,9.39,2025-02-28 09:14:00
323,98,Tram,Stop_36,Stop_16,35,43.4,2025-03-07 05:34:00
324,93,Bus,Stop_37,Stop_28,69,19.77,2025-02-09 15:59:00
325,24,Metro,Stop_26,Stop_16,91,7.42,2025-02-24 17:38:00
326,24,Bus,Stop_22,Stop_4,76,35.12,2025-02-09 19:05:00
327,4,Metro,Stop_4,Stop_45,84,15.41,2025-02-01 08:54:00
328,67,Metro,Stop_31,Stop_26,20,15.96,2025-02-19 06:12:00
329,34,Metro,Stop_18,Stop_28,73,18.77,2025-02-26 02:12:00
330,57,Metro,Stop_38,Stop_32,39,7.87,2025-02-26 01:50:00
331,49,Metro,Stop_24,Stop_45,4,12.97,2025-02-16 14:29:00
332,87,Bus,Stop_23,Stop_2,19,5.23,2025-03-05 02:33:00
333,53,Metro,Stop_22,Stop_31,91,25.04,2025-02-26 21:08:00
334,23,Bus,Stop_2,Stop_3,45,8.79,2025-02-01 19:32:00
335,69,Metro,Stop_31,Stop_8,43,35.72,2025-02-20 09:14:00
336,95,Tram,Stop_11,Stop_24,13,15.6,2025-02-15 12:21:00
337,53,Metro,Stop_28,Stop_15,13,47.46,2025-03-01 07:35:00
338,62,Tram,Stop_46,Stop_43,60,44.21,2025-02-24 21:29:00
339,41,Metro,Stop_32,Stop_31,57,18.02,2025-03-07 11:03:00
340,57,Metro,Stop_5,Stop_9,86,40.24,2025-02-14 10:04:00
341,60,Metro,Stop_38,Stop_39,92,41.15,2025-02-07 01:38:00
342,54,Tram,Stop_10,Stop_45,52,49.4,2025-02-27 00:54:00
343,70,Tram,Stop_40,Stop_2,53,31.9,2025-03-03 22:37:00
344,57,Metro,Stop_46,Stop_8,86,8.69,2025-02-17 16:54:00
345,10,Bus,Stop_24,Stop_7,43,34.11,2025-02-21 15:09:00
346,40,Metro,Stop_35,Stop_44,83,33.12,2025-03-03 09:45:00
347,7,Tram,Stop_44,Stop_39,72,33.73,2025-02-14 23:07:00
348,38,Metro,Stop_48,Stop_42,72,18.82,2025-02-01 06:03:00
349,85,Tram,Stop_23,Stop_16,42,43.69,2025-02-08 04:38:00
350,61,Tram,Stop_17,Stop_35,90,48.18,2025-02-26 01:17:00
351,84,Tram,Stop_1,Stop_30,26,14.8,2025-03-07 12:17:00
352,3,Metro,Stop_31,Stop_10,23,8.97,2025-02-03 06:00:00
353,51,Tram,Stop_31,Stop_38,43,13.75,2025-02-05 15:05:00
354,86,Tram,Stop_42,Stop_18,77,41.92,2025-03-04 17:29:00
355,47,Metro,Stop_42,Stop_50,28,35.45,2025-02-02 08:16:00
356,68,Tram,Stop_34,Stop_5,9,33.62,2025-03-05 10:56:00
