vehicle_id,sensor_id,timestamp,vehicle_type,speed,road_segment_id
284,152,2025-02-20 21:34:00,Car,94,55
285,187,2025-01-17 02:17:00,Truck,58,27
286,142,2025-01-17 16:22:00,Truck,73,118
287,197,2025-01-04 20:22:00,Bus,71,221
288,188,2025-03-05 04:52:00,Car,115,231
289,149,2025-03-08 21:20:00,Bike,116,53
290,128,2025-02-11 23:08:00,Car,63,295
291,156,2025-01-16 19:00:00,Truck,114,321
292,138,2025-02-11 05:13:00,Truck,18,401
293,194,2025-03-04 17:53:00,Car,97,233
294,155,2025-02-09 06:12:00,Car,46,158
295,142,2025-01-12 03:32:00,Bike,58,437
296,149,2025-02-02 16:36:00,Bike,50,269
297,122,2025-02-07 02:20:00,Car,26,21
298,143,2025-01-01 11:11:00,Car,97,403
299,137,2025-01-01 02:43:00,Car,30,53
300,183,2025-01-29 18:24:00,Car,60,275
301,122,2025-02-07 07:44:00,Bus,68,313
302,144,2025-02-18 20:11:00,Car,48,281
303,151,2025-01-08 09:14:00,Bike,64,214
304,179,2025-01-04 07:58:00,Truck,50,31
305,149,2025-01-16 13:40:00,Bus,48,337
306,107,2025-01-21 08:20:00,Car,22,183
307,184,2025-03-04 10:01:00,Truck,73,23
308,100,2025-01-08 11:09:00,Bus,20,32
309,107,2025-01-18 10:41:00,Truck,119,446
310,128,2025-01-27 00:47:00,Car,28,74
311,195,2025-03-07 05:47:00,Car,20,10
312,104,2025-01-24 04:01:00,Bike,86,484
313,185,2025-01-15 17:43:00,Car,55,456
314,146,2025-02-20 15:30:00,Car,54,54
315,133,2025-01-10 18:16:00,Bus,10,52
316,164,2025-01-20 17:00:00,Bike,49,148
317,154,2025-01-19 01:55:00,Bus,117,160
318,189,2025-01-22 06:20:00,Truck,28,370
319,142,2025-01-14 19:17:00,Car,85,14
320,173,2025-02-08 09:56:00,Truck,81,178
321,129,2025-02-14 11:21:00,Bus,81,412
322,181,2025-02-07 01:12:00,Car,70,366
323,116,2025-01-22 11:11:00,Car,118,500
324,125,2025-01-23 18:24:00,Bus,21,53
325,107,2025-01-03 05:11:00,Bus,70,408
326,146,2025-01-24 00:40:00,Bus,42,335
327,175,2025-03-04 20:56:00,Bus,54,22
328,190,2025-02-14 21:21:00,Bus,99,30
329,171,2025-02-04 12:43:00,Car,112,191
330,188,2025-01-03 12:31:00,Bus,101,260
331,145,2025-01-05 06:52:00,Car,78,205
332,167,2025-01-30 05:20:00,Car,17,59
333,132,2025-03-03 20:57:00,Bus,34,471
334,100,2025-03-04 17:53:00,Bus,100,264
335,118,2025-01-15 02:01:00,Bike,55,466
336,130,2025-01-20 21:51:00,Car,96,12
337,179,2025-02-05 17:11:00,Bus,39,119
338,113,2025-03-05 03:00:00,Bus,118,415
339,152,2025-03-06 13:21:00,Bus,56,462
340,147,2025-01-20 20:42:00,Bike,96,290
341,168,2025-03-03 15:49:00,Bike,58,338
342,189,2025-02-05 16:39:00,Truck,56,248
343,161,2025-01-17 07:12:00,Car,93,354
344,191,2025-02-04 04:30:00,Truck,91,127
345,165,2025-02-21 02:56:00,Bus,27,75
346,163,2025-01-05 22:19:00,Bike,75,361
347,169,2025-01-18 15:51:00,Bike,77,204
348,162,2025-02-09 05:32:00,Truck,103,49
349,172,2025-03-09 04:02:00,Bike,42,79
350,132,2025-02-03 02:44:00,Bus,45,441
351,140,2025-01-21 21:51:00,Bike,91,479
352,188,2025-02-14 09:36:00,Truck,110,241
353,147,2025-01-16 16:54:00,Bus,28,349
354,112,2025-03-06 01:40:00,Truck,37,154
355,172,2025-01-30 03:51:00,Bike,49,274
356,176,2025-02-18 22:36:00,Truck,93,96
357,130,2025-02-12 07:20:00,Truck,106,214
358,174,2025-03-07 11:34:00,Car,85,294
359,167,2025-02-14 02:50:00,Bike,24,209
360,197,2025-01-26 03:44:00,Bike,50,343
361,103,2025-01-06 09:48:00,Truck,48,88
362,118,2025-01-20 12:02:00,Car,11,306
363,169,2025-03-04 04:50:00,Bike,72,264
364,197,2025-02-23 08:16:00,Bus,38,425
365,181,2025-02-28 01:08:00,Truck,114,390
366,112,2025-01-12 11:31:00,Bike,83,325
367,122,2025-03-03 08:20:00,Bus,75,428
368,182,2025-03-07 13:59:00,Bike,60,377
369,174,2025-02-01 03:37:00,Bus,84,320
370,100,2025-01-08 01:02:00,Truck,86,157
371,187,2025-02-03 13:55:00,Bike,19,156
372,153,2025-01-07 20:26:00,Bike,23,139
373,170,2025-02-18 15:47:00,Car,91,121
374,188,2025-02-14 11:07:00,Truck,60,65
375,184,2025-02-10 05:06:00,Bus,82,107
376,114,2025-01-20 12:58:00,Bike,48,147
377,164,2025-03-06 07:21:00,Bike,37,137
378,175,2025-01-21 19:16:00,Bus,12,411
379,170,2025-02-22 23:35:00,Truck,93,162
380,114,2025-01-04 18:39:00,Car,79,428
381,120,2025-02-02 19:21:00,Car,36,452
382,118,2025-01-30 12:53:00,Bike,11,100
383,159,2025-01-20 15:10:00,Bus,102,338
384,192,2025-02-24 17:35:00,Bike,47,399
385,188,2025-01-28 06:39:00,Bus,12,307
386,132,2025-01-17 14:08:00,Car,25,141
387,148,2025-01-13 05:50:00,Truck,103,83
388,195,2025-02-12 09:43:00,Bus,49,177
389,134,2025-01-25 09:44:00,Car,11,198
390,143,2025-02-06 05:21:00,Bike,90,112
391,189,2025-03-09 03:58:00,Bus,50,56
392,110,2025-03-05 05:54:00,Truck,21,460
393,198,2025-02-23 17:20:00,Bike,44,179
394,171,2025-02-05 09:39:00,Bike,116,421
395,177,2025-03-09 19:41:00,Car,74,401
396,173,2025-01-05 20:19:00,Bus,64,186
397,165,2025-01-19 04:29:00,Bike,54,471
398,145,2025-01-30 14:00:00,Truck,88,218
399,108,2025-02-11 08:40:00,Bus,99,413
400,102,2025-02-24 04:40:00,Truck,110,417
401,184,2025-02-12 17:58:00,Bike,94,316
402,125,2025-03-01 20:45:00,Truck,71,475
403,171,2025-01-05 19:10:00,Car,58,217
404,147,2025-02-10 01:53:00,Truck,104,120
405,165,2025-02-02 12:57:00,Bus,34,439
406,169,2025-01-25 06:44:00,Truck,32,394
407,127,2025-03-01 11:47:00,Truck,33,175
408,192,2025-01-18 12:27:00,Car,47,23
409,125,2025-01-05 03:38:00,Truck,37,213
410,124,2025-03-02 18:47:00,Truck,30,405
411,111,2025-01-12 21:53:00,Bike,63,235
412,104,2025-02-11 12:05:00,Bike,116,13
413,197,2025-03-10 19:24:00,Bus,27,101
414,147,2025-01-28 03:11:00,Bike,45,417
415,136,2025-02-18 06:39:00,Bike,108,24
416,178,2025-01-07 14:23:00,Bike,54,364
417,143,2025-02-12 03:43:00,Bike,82,11
418,199,2025-02-14 16:59:00,Car,62,273
419,114,2025-03-08 06:57:00,Bike,111,452
420,142,2025-02-10 04:26:00,Car,39,431
421,147,2025-01-12 17:45:00,Car,69,281
422,186,2025-02-01 19:58:00,Bike,117,94
423,169,2025-02-10 11:19:00,Truck,107,201
424,145,2025-03-04 03:29:00,Car,41,21
425,142,2025-01-19 14:46:00,Truck,76,340
426,120,2025-02-01 06:00:00,Truck,76,467
427,122,2025-01-16 09:28:00,Bike,37,211
428,179,2025-02-18 16:39:00,Bus,53,140
429,146,2025-01-27 21:14:00,Bike,88,293
430,114,2025-02-07 13:33:00,Bus,50,298
431,124,2025-02-08 11:39:00,Bus,72,401
432,135,2025-02-04 03:05:00,Bike,32,101
433,174,2025-02-23 18:25:00,Bike,113,304
434,150,2025-03-06 13:09:00,Bus,84,359
435,114,2025-02-24 00:51:00,Bike,57,28
436,167,2025-01-02 17:01:00,Bus,41,41
437,120,2025-01-10 22:11:00,Truck,66,355
438,112,2025-02-02 12:04:00,Bike,109,303
439,185,2025-02-23 10:51:00,Truck,42,496
440,118,2025-03-06 21:51:00,Car,33,146
441,133,2025-02-15 02:26:00,Truck,48,256
442,177,2025-03-10 17:49:00,Truck,43,462
443,167,2025-02-28 09:20:00,Bus,65,227
444,151,2025-02-12 14:12:00,Truck,37,236
445,126,2025-02-24 00:34:00,Bike,46,361
446,128,2025-01-22 10:01:00,Bus,16,380
447,127,2025-02-03 20:38:00,Car,77,455
448,134,2025-02-22 23:12:00,Bike,46,489
449,107,2025-01-27 03:23:00,Car,65,13
450,115,2025-02-05 00:08:00,Truck,74,210
451,135,2025-01-31 12:30:00,Bike,74,229
452,129,2025-02-09 11:29:00,Bike,56,397
453,117,2025-01-20 11:24:00,Car,29,100
454,101,2025-01-12 02:37:00,Bike,28,31
455,148,2025-02-25 09:11:00,Bike,38,386
456,176,2025-03-10 11:25:00,Bike,83,16
457,103,2025-01-17 14:31:00,Truck,69,137
458,189,2025-02-08 13:33:00,Car,27,329
459,188,2025-02-27 08:06:00,Bike,101,166
460,193,2025-03-07 21:10:00,Bus,44,459
461,174,2025-01-11 02:51:00,Bus,52,310
462,106,2025-03-07 14:23:00,Bus,104,440
463,194,2025-02-10 05:41:00,Bus,100,470
464,173,2025-02-10 06:45:00,Truck,20,481
465,138,2025-03-01 21:30:00,Bike,58,100
466,112,2025-02-10 18:32:00,Car,47,109
467,130,2025-01-31 05:41:00,Bike,73,343
468,170,2025-01-17 05:47:00,Truck,78,173
469,162,2025-03-07 06:20:00,Bus,17,237
470,155,2025-02-03 23:08:00,Truck,43,162
471,141,2025-03-01 08:17:00,Bike,57,393
472,160,2025-01-10 01:37:00,Car,65,216
473,141,2025-02-14 11:08:00,Truck,85,264
474,155,2025-02-08 16:51:00,Car,111,263
475,135,2025-01-18 06:18:00,Truck,74,292
476,183,2025-02-03 19:29:00,Car,40,274
477,167,2025-01-31 23:58:00,Car,13,3
478,106,2025-03-05 14:38:00,Bus,118,28
479,153,2025-02-02 06:46:00,Car,59,326
480,100,2025-01-15 06:47:00,Bus,78,492
481,143,2025-01-21 15:39:00,Bike,39,428
482,144,2025-02-10 03:24:00,Bike,97,149
483,146,2025-01-03 14:34:00,Bus,68,28
484,112,2025-01-19 18:44:00,Bus,76,488
485,121,2025-02-16 17:00:00,Truck,84,310
486,120,2025-02-16 11:12:00,Truck,54,438
487,185,2025-01-07 01:06:00,Truck,13,65
488,191,2025-01-07 04:14:00,Bike,35,356
489,108,2025-01-13 12:37:00,Truck,36,21
490,125,2025-02-28 07:46:00,Car,55,252
491,108,2025-02-26 21:42:00,Car,116,235
492,114,2025-02-05 20:12:00,Truck,73,227
493,109,2025-01-21 15:25:00,Car,100,13
494,187,2025-01-05 02:46:00,Bike,115,313
495,141,2025-01-07 14:16:00,Car,60,49
496,171,2025-02-09 04:47:00,Bike,59,118
497,123,2025-01-21 16:46:00,Bus,15,54
498,179,2025-03-03 05:59:00,Bus,68,138
499,148,2025-01-29 16:41:00,Bus,24,53
500,125,2025-02-15 04:55:00,Bus,39,44
